product_id,SKU,Category,Style,Size
170,JNE1233-BLUE-KR-031-XXL,kurta,JNE1233,XXL
171,J0295-DR-M,Western Dress,J0295,M
172,SET324-KR-NP-L,Set,SET324,L
173,J0147-SET-XL,Set,J0147,XL
174,J0308-DR-L,Western Dress,J0308,L
175,NW030-TP-PJ-L,Set,NW030,L
176,SET360-KR-NP-XL,Set,SET360,XL
177,PJNE3373-KR-N-6XL,kurta,PJNE3373,6XL
178,JNE3449-KR-XXL,kurta,JNE3449,XXL
179,JNE3786-KR-S,kurta,JNE3786,S
180,J0003-SET-XXL,Set,J0003,XXL
181,J0314-KR-M,kurta,J0314,M
182,J0341-DR-M,Western Dress,J0341,M
183,PJNE3068-KR-4XL,kurta,PJNE3068,4XL
184,J0340-TP-M,Top,J0340,M
185,JNE3687-TU-M,Top,JNE3687,M
186,J0376-SKD-L,Set,J0376,L
187,J0198-TP-S,Top,J0198,S
188,JNE3453-KR-S,kurta,JNE3453,S
189,SET398-KR-PP-M,Set,SET398,M
190,NW033-ST-CP-XXXL,Set,NW033,3XL
191,NW037-TP-SR-XXXL,Set,NW037,3XL
192,JNE3618-KR-M,kurta,JNE3618,M
193,SET290-KR-DPT-M,Set,SET290,M
194,JNE3568-KR-XXL,kurta,JNE3568,XXL
195,J0003-SET-XXXL,Set,J0003,3XL
196,JNE2153-KR-278-A-S,kurta,JNE2153,S
197,JNE3645-TP-N-XS,Top,JNE3645,XS
198,JNE3662-TP-XS,Top,JNE3662,XS
199,JNE3440-KR-N-L,kurta,JNE3440,L
200,SET331-KR-NP-S,Set,SET331,S
201,J0301-TP-M,Top,J0301,M
202,MEN5004-KR-XL,kurta,MEN5004,XL
203,J0352-KR-S,kurta,J0352,S
204,JNE3160-KR-G-XXL,kurta,JNE3160,XXL
205,JNE3798-KR-M,Western Dress,JNE3798,M
206,JNE3690-TU-XL,Top,JNE3690,XL
207,SET355-KR-PP-XXL,Set,SET355,XXL
208,SET317-KR-PP-XXL,Set,SET317,XXL
209,SET375-KR-NP-XL,Set,SET375,XL
210,JNE3371-KR-M,kurta,JNE3371,M
211,SET116-KR-NP-XL,Set,SET116,XL
212,SET147-KR-NP-XL,Set,SET147,XL
213,SET397-KR-NP-XL,Set,SET397,XL
214,SET300-KR-NP-L,Set,SET300,L
215,JNE3384-KR-M,kurta,JNE3384,M
216,JNE3291-KR-XL,kurta,JNE3291,XL
217,SET291-KR-PP-L,Set,SET291,L
218,JNE3399-KR-L,kurta,JNE3399,L
219,JNE3440-KR-N-XS,kurta,JNE3440,XS
220,SET363-KR-NP-XXL,Set,SET363,XXL
221,J0348-SET-S,Set,J0348,S
222,J0399-DR-M,Western Dress,J0399,M
223,JNE3797-KR-M,Western Dress,JNE3797,M
224,JNE3440-KR-N-M,kurta,JNE3440,M
225,JNE3802-KR-M,kurta,JNE3802,M
226,J0285-SKD-M,Set,J0285,M
227,SET322-KR-SHA-XL,Set,SET322,XL
228,MEN5021-KR-XL,kurta,MEN5021,XL
229,PJ0096-KR-N-5XL,kurta,PJ0096,5XL
230,JNE3461-KR-M,kurta,JNE3461,M
231,SET383-KR-NP-L,Set,SET383,L
232,J0002-SKD-XXXL,Set,J0002,3XL
233,SET344-KR-NP-XXXL,Set,SET344,3XL
234,JNE3465-KR-XXL,kurta,JNE3465,XXL
235,SET324-KR-NP-XXL,Set,SET324,XXL
236,SET184-KR-PP-XXXL,Set,SET184,3XL
237,J0008-SKD-S,Set,J0008,S
238,J0008-SKD-XXL,Set,J0008,XXL
239,J0013-SKD-XXL,Set,J0013,XXL
240,J0208-DR-S,Western Dress,J0208,S
241,SET344-KR-NP-XL,Set,SET344,XL
242,NW001-TP-PJ-XXL,Set,NW001,XXL
243,SET304-KR-DPT-S,Set,SET304,S
244,SET265-KR-NP-XL,Set,SET265,XL
245,SET004-KR-SP-A-S,Set,SET004,S
246,J0012-SKD-M,Set,J0012,M
247,JNE3465-KR-M,kurta,JNE3465,M
248,SET374-KR-NP-XS,Set,SET374,XS
249,JNE3567-KR-XL,kurta,JNE3567,XL
250,J0041-SET-M,Set,J0041,M
251,JNE3611-KR-XL,kurta,JNE3611,XL
252,SET384-KR-NP-XS,Set,SET384,XS
253,JNE3635-KR-L,kurta,JNE3635,L
254,J0118-TP-XXXL,Top,J0118,3XL
255,JNE3654-TP-XS,Top,JNE3654,XS
256,JNE3652-TP-N-XL,Top,JNE3652,XL
257,J0339-DR-L,Western Dress,J0339,L
258,SET303-KR-NP-XL,Set,SET303,XL
259,JNE3396-KR-XXXL,kurta,JNE3396,3XL
260,JNE3256-KR-XXXL,kurta,JNE3256,3XL
261,J0340-TP-XS,Top,J0340,XS
262,J0335-DR-S,Western Dress,J0335,S
263,J0008-SKD-L,Set,J0008,L
264,SET268-KR-NP-XS,Set,SET268,XS
265,J0280-SKD-S,Set,J0280,S
266,J0339-DR-M,Western Dress,J0339,M
267,JNE3564-KR-XXXL,kurta,JNE3564,3XL
268,SET182-KR-DH-L,Set,SET182,L
269,SET128-KR-DH-M,Set,SET128,M
270,JNE3567-KR-XXL,kurta,JNE3567,XXL
271,JNE3568-KR-L,kurta,JNE3568,L
272,JNE3881-DR-XXXL,Western Dress,JNE3881,3XL
273,JNE3639-TP-N-XXL,Top,JNE3639,XXL
274,SET291-KR-PP-XXL,Set,SET291,XXL
275,JNE3613-KR-XXL,kurta,JNE3613,XXL
276,JNE3368-KR-XXXL,kurta,JNE3368,3XL
277,JNE3522-KR-XXL,kurta,JNE3522,XXL
278,JNE3741-KR-XXL,kurta,JNE3741,XXL
279,SET293-KR-NP-S,Set,SET293,S
280,SET388-KR-NP-L,Set,SET388,L
281,J0008-SKD-XS,Set,J0008,XS
282,SET197-KR-NP-L,Set,SET197,L
283,MEN5029-KR-M,kurta,MEN5029,M
284,J0341-DR-XS,Western Dress,J0341,XS
285,J0010-LCD-L,Set,J0010,L
286,JNE3800-KR-M,Western Dress,JNE3800,M
287,SET183-KR-DH-M,Set,SET183,M
288,J0341-DR-XXL,Western Dress,J0341,XXL
289,J0341-DR-XXXL,Western Dress,J0341,3XL
290,J0331-KR-XXXL,kurta,J0331,3XL
291,JNE3752-KR-XXXL,kurta,JNE3752,3XL
292,SET369-KR-NP-XXL,Set,SET369,XXL
293,JNE3373-KR-XS,kurta,JNE3373,XS
294,JNE3805-KR-L,kurta,JNE3805,L
295,JNE3537-KR-M,kurta,JNE3537,M
296,J0003-SET-XL,Set,J0003,XL
297,SET436-KR-NP-XXXL,Set,SET436,3XL
298,SET264-KR-NP-XXL,Set,SET264,XXL
299,JNE3567-KR-XS,kurta,JNE3567,XS
300,J0329-KR-XXXL,kurta,J0329,3XL
301,JNE3568-KR-XL,kurta,JNE3568,XL
302,SET341-KR-NP-L,Set,SET341,L
303,JNE3543-KR-M,kurta,JNE3543,M
304,JNE3365-KR-1052-A-S,kurta,JNE3365,S
305,JNE3759-KR-XL,kurta,JNE3759,XL
306,MEN5001-KR-L,kurta,MEN5001,L
307,J0098-TP-XS,Top,J0098,XS
308,SET226-KR-PP-L,Set,SET226,L
309,SET380-KR-NP-XXXL,Set,SET380,3XL
310,MEN5009-KR-M,kurta,MEN5009,M
311,MEN5011-KR-M,kurta,MEN5011,M
312,MEN5032-KR-S,kurta,MEN5032,S
313,SET359-KR-NP-XXL,Set,SET359,XXL
314,J0199-SET-XXXL,Set,J0199,3XL
315,J0401-DR-L,Western Dress,J0401,L
316,J0003-SET-XS,Set,J0003,XS
317,J0308-DR-XL,Western Dress,J0308,XL
318,PJNE3252-KR-N-6XL,kurta,PJNE3252,6XL
319,JNE3752-KR-M,kurta,JNE3752,M
320,SET217-KR-PP-XXXL,Set,SET217,3XL
321,JNE3799-KR-XL,kurta,JNE3799,XL
322,JNE3294-KR-S,kurta,JNE3294,S
323,SET356-KR-NP-XXXL,Set,SET356,3XL
324,JNE2014-KR-178-XXXL,kurta,JNE2014,3XL
325,J0401-DR-XS,Western Dress,J0401,XS
326,SET365-KR-NP-L,Set,SET365,L
327,JNE3405-KR-XXXL,kurta,JNE3405,3XL
328,J0230-SKD-XXL,Set,J0230,XXL
329,JNE3465-KR-XXXL,kurta,JNE3465,3XL
330,SET265-KR-NP-M,Set,SET265,M
331,JNE3288-KR-M,kurta,JNE3288,M
332,SET316-KR-DPT-M,Set,SET316,M
333,SET268-KR-NP-S,Set,SET268,S
334,JNE3800-KR-XXL,Western Dress,JNE3800,XXL
335,JNE2270-KR-487-A-L,kurta,JNE2270,L
336,MEN5024-KR-M,kurta,MEN5024,M
337,MEN5023-KR-XL,kurta,MEN5023,XL
338,JNE3797-KR-XS,Western Dress,JNE3797,XS
339,JNE3515-KR-XL,kurta,JNE3515,XL
340,J0225-SKD-XXL,Set,J0225,XXL
341,JNE3461-KR-L,kurta,JNE3461,L
342,JNE3618-KR-XS,kurta,JNE3618,XS
343,PJNE3405-KR-N-5XL,kurta,PJNE3405,5XL
344,JNE3500-KR-S,kurta,JNE3500,S
345,JNE3368-KR-XXL,kurta,JNE3368,XXL
346,JNE2270-KR-487-A-XL,kurta,JNE2270,XL
347,JNE3568-KR-S,kurta,JNE3568,S
348,J0096-KR-S,kurta,J0096,S
349,SET319-KR-NP-S,Set,SET319,S
350,J0415-DR-L,Western Dress,J0415,L
351,JNE3718-KR-XXL,kurta,JNE3718,XXL
352,SET014-KR-PP-XXL,Set,SET014,XXL
353,SET408-KR-NP-XXL,Set,SET408,XXL
354,J0254-SKD-XS,Set,J0254,XS
355,SAR114,Saree,SAR114,Free
356,J0010-LCD-XS,Set,J0010,XS
357,SET186-KR-DH-K-M,Set,SET186,M
358,JNE3819-KR-L,kurta,JNE3819,L
359,J0335-DR-L,Western Dress,J0335,L
360,SET334-KR-NP-XXL,Set,SET334,XXL
361,JNE3470-KR-XS,kurta,JNE3470,XS
362,JNE3619-KR-XS,kurta,JNE3619,XS
363,J0283-SET-XL,Set,J0283,XL
364,JNE3440-KR-N-XL,kurta,JNE3440,XL
365,JNE3787-KR-XXL,kurta,JNE3787,XXL
366,SET282-KR-PP-XXL,Set,SET282,XXL
367,JNE3691-TU-L,Top,JNE3691,L
368,JNE3727-KR-XXL,kurta,JNE3727,XXL
369,JNE3634-KR-XL,kurta,JNE3634,XL
370,JNE3675-TU-L,Top,JNE3675,L
371,JNE2199-KR-411-A-XXL,kurta,JNE2199,XXL
372,SET184-KR-PP-XXL,Set,SET184,XXL
373,JNE3468-KR-L,kurta,JNE3468,L
374,J0213-TP-L,Top,J0213,L
375,BL110-XL,Blouse,BL110,XL
376,J0008-SKD-XL,Set,J0008,XL
377,SET288-KR-NP-XXL,Set,SET288,XXL
378,SET110-KR-PP-L,Set,SET110,L
379,MEN5031-KR-XXXL,kurta,MEN5031,3XL
380,JNE3421-KR-N-M,kurta,JNE3421,M
381,SET351-KR-NP-L,Set,SET351,L
382,SET337-KR-NP-L,Set,SET337,L
383,MEN5021-KR-XXL,kurta,MEN5021,XXL
384,J0338-DR-L,Western Dress,J0338,L
385,JNE3364-KR-1051-A-L,kurta,JNE3364,L
386,JNE2153-KR-278-A-XL,kurta,JNE2153,XL
387,JNE3487-KR-XXL,kurta,JNE3487,XXL
388,JNE3865-TP-XXXL,Top,JNE3865,3XL
389,SET291-KR-PP-XXXL,Set,SET291,3XL
390,JNE3704-KR-L,kurta,JNE3704,L
391,J0378-SKD-XXL,Set,J0378,XXL
392,JNE3721-KR-XL,kurta,JNE3721,XL
393,J0308-DR-XXL,Western Dress,J0308,XXL
394,SET398-KR-PP-XXL,Set,SET398,XXL
395,J0157-DR-S,Western Dress,J0157,S
396,JNE3799-KR-S,kurta,JNE3799,S
397,JNE2265-KR-501-S,kurta,JNE2265,S
398,JNE3401-KR-M,kurta,JNE3401,M
399,SET332-KR-PP-L,Set,SET332,L
400,SET345-KR-NP-XL,Set,SET345,XL
401,JNE1525-KR-UDF19-A-XL,kurta,JNE1525,XL
402,J0373-KR-M,kurta,J0373,M
403,JNE3449-KR-XXXL,kurta,JNE3449,3XL
404,J0006-SET-L,Ethnic Dress,J0006,L
405,SET228-KR-PP-A-XXXL,Set,SET228,3XL
406,MEN5023-KR-S,kurta,MEN5023,S
407,SET388-KR-NP-S,Set,SET388,S
408,SET333-KR-DPT-XL,Set,SET333,XL
409,SET172-KR-PP-B-M,Set,SET172,M
410,SET268-KR-NP-XL,Set,SET268,XL
411,SET319-KR-NP-XL,Set,SET319,XL
412,SET378-KR-NP-XS,Set,SET378,XS
413,SET344-KR-NP-S,Set,SET344,S
414,MEN5002-KR-M,kurta,MEN5002,M
415,MEN5006-KR-XXL,kurta,MEN5006,XXL
416,SET363-KR-NP-XL,Set,SET363,XL
417,JNE3794-KR-XXXL,kurta,JNE3794,3XL
418,SET131-KR-NP-A-XXL,Set,SET131,XXL
419,SET203-KR-DPT-S,Set,SET203,S
420,SET098-KR-PP-XL,Set,SET098,XL
421,JNE3614-KR-M,kurta,JNE3614,M
422,J0201-TP-L,Top,J0201,L
423,SET201-KR-NP-A-XXL,Set,SET201,XXL
424,NW030-TP-PJ-XXL,Set,NW030,XXL
425,SET273-KR-NP-XXXL,Set,SET273,3XL
426,JNE3690-TU-L,Top,JNE3690,L
427,J0247-SKD-S,Set,J0247,S
428,SET347-KR-NP-XXXL,Set,SET347,3XL
429,J0386-KR-XXXL,kurta,J0386,3XL
430,J0342-TP-L,Top,J0342,L
431,SET363-KR-NP-L,Set,SET363,L
432,J0342-TP-M,Top,J0342,M
433,J0198-TP-XXXL,Top,J0198,3XL
434,JNE3500-KR-XXL,kurta,JNE3500,XXL
435,JNE3510-KR-XL,kurta,JNE3510,XL
436,J0005-DR-XXL,Western Dress,J0005,XXL
437,SET360-KR-NP-XXL,Set,SET360,XXL
438,SET110-KR-PP-S,Set,SET110,S
439,J0416-DR-S,Western Dress,J0416,S
440,SET310-KR-NP-XXL,Set,SET310,XXL
441,SET188-KR-NP-XS,Set,SET188,XS
442,J0096-KR-XS,kurta,J0096,XS
443,SET323-KR-NP-XXL,Set,SET323,XXL
444,PJNE2100-KR-N-5XL,kurta,PJNE2100,5XL
445,PJNE3068-KR-5XL,kurta,PJNE3068,5XL
446,J0196-TP-XXL,Top,J0196,XXL
447,SET187-KR-DH-XL,Set,SET187,XL
448,SET389-KR-NP-XL,Set,SET389,XL
449,SAR040,Saree,SAR040,Free
450,J0372-SKD-L,Set,J0372,L
451,J0376-SKD-S,Set,J0376,S
452,JNE3518-KR-M,kurta,JNE3518,M
453,J0095-SET-XXXL,Set,J0095,3XL
454,NW004-TP-PJ-XXXL,Set,NW004,3XL
455,J0167-KR-S,kurta,J0167,S
456,SET374-KR-NP-XXXL,Set,SET374,3XL
457,SET331-KR-NP-M,Set,SET331,M
458,SET356-KR-NP-L,Set,SET356,L
459,SET293-KR-NP-XXL,Set,SET293,XXL
460,SET375-KR-NP-XXL,Set,SET375,XXL
461,JNE3273-KR-XXL,kurta,JNE3273,XXL
462,SET331-KR-NP-L,Set,SET331,L
463,JNE3518-KR-XL,kurta,JNE3518,XL
464,JNE3476-KR-XL,kurta,JNE3476,XL
465,JNE3738-KR-XXXL,kurta,JNE3738,3XL
466,JNE3465-KR-XS,kurta,JNE3465,XS
467,JNE3463-KR-XXXL,kurta,JNE3463,3XL
468,MEN5032-KR-XXL,kurta,MEN5032,XXL
469,SET380-KR-NP-L,Set,SET380,L
470,J0230-SKD-M,Set,J0230,M
471,JNE3611-KR-XXXL,kurta,JNE3611,3XL
472,JNE3784-KR-M,kurta,JNE3784,M
473,SET114-KR-PP-XS,Set,SET114,XS
474,J0385-KR-M,kurta,J0385,M
475,SET347-KR-NP-L,Set,SET347,L
476,JNE3437-KR-XXL,kurta,JNE3437,XXL
477,JNE3065-KR-XXL,kurta,JNE3065,XXL
478,J0343-DR-XXL,Western Dress,J0343,XXL
479,J0119-TP-XL,Top,J0119,XL
480,J0334-TP-XL,Top,J0334,XL
481,J0236-SKD-XXL,Set,J0236,XXL
482,J0126-SKD-XXXL,Set,J0126,3XL
483,J0230-SKD-XL,Set,J0230,XL
484,SET171-KR-NP-M,Set,SET171,M
485,JNE3365-KR-1052-A-XXXL,kurta,JNE3365,3XL
486,J0012-SKD-XXL,Set,J0012,XXL
487,J0308-DR-M,Western Dress,J0308,M
488,J0117-TP-XXL,Top,J0117,XXL
489,SET265-KR-NP-XS,Set,SET265,XS
490,SET433-KR-NP-XL,Set,SET433,XL
491,JNE3769-KR-L,kurta,JNE3769,L
492,JNE3468-KR-XXXL,kurta,JNE3468,3XL
493,J0154-DR-XXL,Western Dress,J0154,XXL
494,J0154-DR-XS,Western Dress,J0154,XS
495,SET268-KR-NP-M,Set,SET268,M
496,MEN5019-KR-XXXL,kurta,MEN5019,3XL
497,SET333-KR-DPT-XS,Set,SET333,XS
498,SET110-KR-PP-XXXL,Set,SET110,3XL
499,PJNE2171-KR-N-5XL,kurta,PJNE2171,5XL
500,SET310-KR-NP-S,Set,SET310,S
501,SET219-KR-PP-XXXL,Set,SET219,3XL
502,J0096-KR-XL,kurta,J0096,XL
503,JNE3562-KR-XXL,kurta,JNE3562,XXL
504,JNE3745-KR-S,kurta,JNE3745,S
505,JNE3795-KR-XS,kurta,JNE3795,XS
506,SET397-KR-NP-XXL,Set,SET397,XXL
507,JNE3365-KR-1052-A-M,kurta,JNE3365,M
508,SET145-KR-NP-S,Set,SET145,S
509,SET220-KR-PP-XL,Set,SET220,XL
510,JNE3371-KR-XXXL,kurta,JNE3371,3XL
511,JNE3487-KR-XXXL,kurta,JNE3487,3XL
512,JNE3702-KR-XXXL,kurta,JNE3702,3XL
513,JNE3461-KR-XXXL,kurta,JNE3461,3XL
514,JNE3739-KR-L,kurta,JNE3739,L
515,SET265-KR-NP-L,Set,SET265,L
516,SET343-KR-NP-XXL,Set,SET343,XXL
517,JNE3534-KR-XS,kurta,JNE3534,XS
518,J0094-KR-M,kurta,J0094,M
519,SET364-KR-NP-XXL,Set,SET364,XXL
520,JNE2265-KR-501-XL,kurta,JNE2265,XL
521,JNE3690-TU-S,Top,JNE3690,S
522,SET347-KR-NP-XL,Set,SET347,XL
523,JNE1998-KR-311-S,kurta,JNE1998,S
524,JNE3715-KR-S,kurta,JNE3715,S
525,BL003-50BLACK,Blouse,BL003,Free
526,MEN5005-KR-XXXL,kurta,MEN5005,3XL
527,MEN5028-KR-XXL,kurta,MEN5028,XXL
528,J0215-BL-L,Blouse,J0215,L
529,JNE3714-KR-L,kurta,JNE3714,L
530,PJNE2199-KR-N-6XL,kurta,PJNE2199,6XL
531,JNE3634-KR-M,kurta,JNE3634,M
532,JNE3421-KR-N-L,kurta,JNE3421,L
533,SET285-KR-SHA-XS,Set,SET285,XS
534,JNE3394-KR-A-XL,kurta,JNE3394,XL
535,SET356-KR-NP-XL,Set,SET356,XL
536,JNE3468-KR-XXL,kurta,JNE3468,XXL
537,J0343-DR-XXXL,Western Dress,J0343,3XL
538,J0380-SKD-XXXL,Set,J0380,3XL
539,J0382-SKD-XL,Set,J0382,XL
